"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"1","Deep Dive: Fundraising for Sustainability in Culture","","Deep Dive: Fundraising for Sustainability in Culture","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-19 08:00:00","2022-07-19 09:00:00","Deep Dive Training","deep-dive-training",""
"2","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-07-21 17:00:00","2022-07-21 18:00:00","Office Hours","office-hours",""
"3","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-25 13:30:00","2022-07-25 14:30:00","Regional Network Meeting","regional-network-meeting",""
"4","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-26 11:00:00","2022-07-26 12:00:00","Regional Network Meeting","regional-network-meeting",""
"5","Charlotte &#8211; Regional Network Meeting","","Charlotte &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-27 12:00:00","2022-07-27 13:00:00","Regional Network Meeting","regional-network-meeting",""
"6","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-28 15:00:00","2022-07-28 16:00:00","Regional Network Meeting","regional-network-meeting","45"
"7","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-28 18:00:00","2022-07-28 19:00:00","Regional Network Meeting","regional-network-meeting","33"
"8","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-07-29 11:00:00","2022-07-29 12:00:00","Regional Network Meeting","regional-network-meeting","14"
"9","Deep Dive: PR / CSR Communications with Deborah Ziska","","Deep Dive: PR / CSR Communications with Deborah Ziska","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\"><span data-sheets-value=\"{&quot;1&quot;:2,&quot;2&quot;:&quot;Deborah Ziska&quot;}\" data-sheets-userformat=\"{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}\">Communications expert Deborah Ziska joins ","2022-08-03 00:00:00","2022-08-03 01:00:00","Deep Dive Training","deep-dive-training",""
"10","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-08-04 00:00:00","2022-08-04 01:00:00","Office Hours","office-hours",""
"11","Social: Artists","","Social: Artists","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is artists.</p>","2022-08-04 00:00:00","2022-08-04 01:00:00","Social","social",""
